Year,Value
193610,-0.0267
193611,-0.0343
193612,-0.0245
193701,-0.1739
193702,0.035
193703,-0.1894
193704,-0.1304
193705,-0.0238
193706,0.0067
193707,-0.0069
193708,0.086
193709,0.1249
193710,0.1085
193711,0.0048
193712,-0.0955
193801,-0.0428
193802,-0.059
193803,0.0248
193804,0.0383
193805,-0.024
193806,-0.0984
193807,-0.0554
193808,-0.0199
193809,0.0252
193810,0.0702
193811,-0.0001
193812,-0.2579
193901,-0.1691
193902,-0.1148
193903,-0.1929
193904,-0.1345
193905,-0.0421
193906,-0.0152
193907,0.0004
193908,0.0516
193909,0.006
193910,-0.0462
193911,0.0397
193912,0.4023
194001,-0.1257
194002,0.0488
194003,0.0657
194004,0.1247
194005,0.0524
194006,0.0997
194007,0.1425
194008,0.0871
194009,0.1448
194010,0.0974
194011,0.0949
194012,0.2628
194101,0.1764
194102,0.2254
194103,0.1003
194104,0.2185
194105,0.2408
194106,0.1596
194107,0.2046
194108,0.1709
194109,0.0839
194110,0.3069
194111,0.2178
194112,0.2083
194201,0.2963
194202,0.0959
194203,0.175
194204,0.1885
194205,0.1645
194206,0.2066
194207,0.0743
194208,0.0421
194209,0.1157
194210,0.1488
194211,0.1632
194212,0.1502
194301,-0.0246
194302,0.1686
194303,0.0759
194304,0.1697
194305,0.1327
194306,0.0214
194307,0.1803
194308,0.0992
194309,0.1451
194310,0.3146
194311,0.2481
194312,0.3575
194401,0.4236
194402,0.3062
194403,0.368
194404,0.27
194405,0.2689
194406,0.3374
194407,0.3175
194408,0.2811
194409,0.3871
194410,0.3243
194411,0.1576
194412,0.1006
194501,0.1585
194502,0.0194
194503,0.1053
194504,0.2768
194505,0.1785
194506,0.1394
194507,0.1675
194508,0.3551
194509,0.2587
194510,0.2614
194511,0.1917
194512,-0.0448
194601,0.2252
194602,0.0913
194603,0.0019
194604,0.1783
194605,-0.0282
194606,-0.1019
194607,-0.0344
194608,-0.068
194609,-0.0171
194610,-0.0052
194611,-0.0162
194612,-0.2629
194701,-0.182
194702,-0.0768
194703,-0.0078
194704,0.0141
194705,-0.019
194706,0.0219
194707,-0.0124
194708,-0.0613
194709,-0.1295
194710,0.0566
194711,-0.0242
194712,-0.1458
194801,0.0521
194802,-0.0942
194803,-0.1888
194804,-0.0647
194805,0.1445
194806,-0.0122
194807,-0.0604
194808,-0.0256
194809,-0.1022
194810,-0.065
194811,-0.0579
194812,-0.1126
194901,0.1229
194902,-0.1452
194903,-0.0703
194904,0.011
194905,-0.0036
194906,-0.1459
194907,-0.073
194908,-0.0181
194909,-0.0646
194910,-0.0282
194911,-0.0494
194912,-0.1778
195001,-0.2725
195002,-0.2351
195003,-0.0825
195004,-0.1671
195005,-0.0502
195006,-0.0517
195007,-0.1011
195008,-0.1345
195009,-0.1011
195010,-0.1625
195011,-0.3576
195012,-0.1774
195101,-0.285
195102,-0.4054
195103,-0.1633
195104,-0.083
195105,0.0619
195106,0.0438
195107,0.1158
195108,0.1179
195109,0.1368
195110,0.1128
195111,0.031
195112,0.219
195201,0.1575
195202,0.0966
195203,-0.0427
195204,0.0711
195205,0.0388
195206,0.0464
195207,0.0783
195208,0.0703
195209,0.0707
195210,-0.0321
195211,-0.1929
195212,-0.0027
195301,0.1073
195302,0.1577
195303,0.1587
195304,0.1898
195305,0.1482
195306,0.1289
195307,0.071
195308,0.0855
195309,0.0681
195310,0.0772
195311,-0.0577
195312,0.0599
195401,-0.231
195402,-0.0821
195403,-0.0861
195404,-0.1723
195405,-0.1977
195406,-0.1104
195407,-0.1179
195408,-0.0856
195409,-0.0543
195410,-0.0651
195411,0.0447
195412,-0.1814
195501,0.093
195502,-0.1255
195503,-0.3034
195504,-0.233
195505,-0.1219
195506,-0.0636
195507,-0.0828
195508,-0.0211
195509,-0.0872
195510,-0.119
195511,-0.2326
195512,-0.2656
195601,-0.1728
195602,-0.2685
195603,-0.1938
195604,-0.2794
195605,-0.2222
195606,-0.1377
195607,-0.1289
195608,-0.1817
195609,-0.2467
195610,-0.1947
195611,-0.1512
195612,-0.1473
195701,-0.1134
195702,-0.1069
195703,-0.0614
195704,-0.0139
195705,0.1149
195706,0.165
195707,0.0666
195708,0.1368
195709,0.0807
195710,0.0197
195711,0.1342
195712,0.2352
